Lesson 1
bad;[bæd];дурной, плохой, скверный;
had;[hæd];прош. вр. от have;
mad;[mæd];сумасшедший, ненормальный;
tap;[tæp];затычка, пробка, втулка, кран;
sad;[sæd];грустный, печальный, унылый;
dad;[dæd];папа, папочка;
map;[mæp];карта, генетическая карта;
lap;[læp];подол, пола, фалда, колени;
rap;[ræp];лёгкий удар, стук, наказание;
six;[sɪks];шесть, цифра шесть, шестёрка;
Lesson 2
turn;[tɜːn];поворачиваться, повёртываться;
field;[fiːld];поле, луг;
were;[wɜː]; 1, 2 и 3 л. мн. прошедшего времени от be;
all;[ɔːl];весь, вся, всё, целый, все;
what;[(h)wɔt];что?, каков?, кто?, сколько?;
afraid;[ə'freɪd];испуганный, напуганный;
closed;[kləuzd];закрытый, замкнутый;
bit;[bɪt];кусочек, частица;
Lesson 3
pin;[pɪn];булавка, кнопка, прищепка;
rip;[rɪp];пороться, рваться, разрезать;
tip;[tɪp];тонкий конец, кончик, верх;
fix;[fɪks];устанавливать, прикреплять;
sit;[sɪt];сидеть, садиться, сажать;
him;[hɪm];его, ему, им, нём, он, себя;
hill;[hɪl];возвышение, возвышенность;
win;[wɪn];победить, выиграть, достичь;
off;[ɔf];от, у, дальний, удалённый;
Lesson 4
jog;[ʤɔg];лёгкий толчок, встряхивание;
flop;[flɔp];висеть, свисать, болтаться;
fog;[fɔg];туман, дымка, мгла, завеса;
job;[ʤɔb];работа, труд, сдельная работа;
dog;[dɔg];собака, пёс, кобель, самец;
log;[lɔg];бревно, колода, чурбан, лаг;
sand;[sænd];песок, гравий, песчинка;
Lesson 5
pond;[pɔnd];пруд, маленькое озеро;
lost;[lɔst];потерянный, несохранённый;
just;[ʤʌst];точно, как раз, именно;
cast;[kɑːst];бросать, кидать, швырять;
grand;[grænd];большой, величественный;
hand;[hænd];рука, передняя лапа нога;
past;[pɑːst];прошлое, прошедшее;
band;[bænd];тесьма, лента, повязка, поясок;
list;[lɪst];список, перечень, реестр;
fed;[fed]; прош. вр. от глагола feed;
Lesson 6
met;[met];прош. вр. от глагола meet;
them;[ðem];они, себя, собой;
bend;[bend];сгибать, гнуть, изгибать;
send;[send];посылать, отправлять, отсылать;
went;[went];прош. вр. от глагола go;
egg;[eg];яйцо;
rest;[rest];отдыхать, давать отдых, покой;
test;[test];проверка, испытание, тест;
shut;[ʃʌt];закрывать, запирать, затворять;
Lesson 7
bud;[bʌd];почка, бутон, зародыш;
luck;[lʌk];фортуна, судьба;
us;[ʌs];мы, меня, себя;
mud;[mʌd];грязь, слякоть, ил, тина, шлам;
rub;[rʌb];тереться, тереть, протирать;
stuck;[stʌk];прош. вр. от stick;
bride;[braɪd];невеста, новобрачная;
Lesson 8
stride;[straɪd];большой шаг, расстояние;
slide;[slaɪd];скользить, двигаться плавно;
glide;[glaɪd];скольжение, плавное движение;
side;[saɪd];сторона, одна из поверхностей;
hide;[haɪd];прятаться, скрываться, прятать;
tide;[taɪd];прилив, отлив, плыть по течению;
kind;[kaɪnd];сорт, вид, добрый, любезный;
wide;[waɪd];широкий, обширный, большой;
pride;[praɪd];гордость, чувство гордости;
child;[ʧaɪld];ребёнок, дитя;
mold;[məuld];форма, шаблон;
Lesson 9
scold;[skəuld];бранить, ругать, браниться;
fold;[fəuld];сгибать, складывать, загон для скота;
both;[bəuθ];оба, обе;
bold;[bəuld];отважный, смелый, храбрый, жирный (о шрифте);
most;[məust];самый большой, наибольший;
sold;[səuld];прош. вр. от sell;
told;[təuld];прош. вр. от tell;
cold;[kəuld];холод, холодный, простуда, насморк;
say;[seɪ];говорить;
Lesson 10
way;[weɪ];путь, дорога, маршрут;
laid;[leɪd];прош. вр. от lay;
lay;[leɪ]; класть, положить;
train;[treɪn];тренироваться, готовиться;
pay;[peɪ];платить, нанимать за деньги;
rain;[reɪn];дождь, потоки, ручьи, шквал;
may;[meɪ];май (месяц), гл. выражает разрешение, пожелание, допускаемую возможность, предположение;
bait;[beɪt];приманка, наживка, искушение;
wait;[weɪt];ждать, выжидать, переждать;
seat;[siːt];сиденье, место, сидеть;
Lesson 11
each;[iːʧ];каждый, всякий;
feet;[fiːt];мн. от foot;
team;[tiːm];команда, группа, артель;
keep;[kiːp];держать, не отдавать, хранить;
eat;[iːt];есть, поедать;
weed;[wiːd];сорная трава, сорняк;
need;[niːd];необходимость, надобность;
read;[riːd];читать, прочитать;
deep;[diːp];глубокий;
low;[ləu];мычание, рёв, низкий, невысокий;
Lesson 12
own;[əun];свой, собственный, родной;
coast;[kəust];морское побережье;
slow;[sləu];медленный, тихий, медлительный;
coat;[kəut];пиджак, мундир, китель, куртка;
coal;[kəul];уголь, древесный уголь;
row;[rəu];ряд, линия, вереница, серия;
boat;[bəut];лодка, шлюпка, корабль, судно;
road;[rəud];дорога, путь, шоссе, улица;
show;[ʃəu];показывать, выявлять;
flute;[fluːt];флейта, фужер, выемка;
Lesson 13
amuse;[ə'mjuːz];развлекать, занимать внимание;
mute;[mjuːt];немой, безгласный, безмолвный;
fuse;[fjuːz];плавка, процесс плавления;
cute;[kjuːt];изящный, привлекательный;
suit;[s(j)uːt];костюм, комплект, набор, масть;
chute;[ʃuːt];стремнина, крутой скат;
soup;[suːp];суп, густой туман;
lute;[luːt];лютня, замазка, мастика;
huge;[hjuːʤ];большой, гигантский, громадный;
war;[wɔː];война, борьба, военный;
Lesson 14
pear;[peə];груша, грушевое дерево;
ear;[ɪə];ухо, ушная раковина;
car;[kɑː];автомобиль, машина, вагон;
tear;[teə];рвать, разрывать, срывать;
gear;[gɪə];механизм, устройство;
rear;[rɪə];воспитывать, растить;
hear;[hɪə];слышать, обладать слухом;
bear;[beə];носить, нести, переносить;
dress;[dres];платье, одежда, оперенье;
Lesson 15
glass;[glɑːs];стекло, стакан, бокал, фужер;
less;[les];меньший, низший, младший;
grass;[grɑːs];трава, травинка, дёрн;
mess;[mes];беспорядок, путаница;
pass;[pɑːs];проход, путь, дорога, ущелье;
class;[klɑːs];класс;
brass;[brɑːs];латунь;
bass;[bæs];окунь, американская липа;
call;[kɔːl];звонить, вызывать, кричать, окликать;
Lesson 16
stall;[stɔːl];стойло, ларёк, киоск, палатка;
ball;[bɔːl];мяч, шар, клубок;
mall;[mɔːl];аллея, бульвар, торговая галерея;
wall;[wɔːl];стена, дамба, насыпь;
gall;[gɔːl];желчь, жёлчь, желчный пузырь;
hall;[hɔːl];зал, холл, столовая, приёмная;
fall;[fɔːl];падать, отпадать, отваливаться;
tall;[tɔːl];высокий, имеющий рост;
shape;[ʃeɪp];форма, очертание, вид, образ;
Lesson 17
fish;[fɪʃ];рыба;
reach;[riːʧ];протягивать, доставать, достигать;
change;[ʧeɪnʤ];менять, изменять, заменять;
wish;[wɪʃ];желать, хотеть;
ship;[ʃɪp];корабль, судно;
rich;[rɪʧ];богатый, состоятельный;
shop;[ʃɔp];лавка, магазин;
chest;[ʧest];ящик, коробка, сундук;
belong;[bɪ'lɔŋ];принадлежать;
Lesson 18
king;[kɪŋ];король, царь, монарх;
pong;[pɔŋ];вонь;
song;[sɔŋ];песня, романс, пение;
long;[lɔŋ];длинный, больше своей ширины;
ring;[rɪŋ];кольцо, ободок, обруч;
wing;[wɪŋ];крыло;
thing;[θɪŋ];вещь, предмет;
string;[strɪŋ];верёвка, нитка, струна, шнурок, строка;
clock;[klɔk];часы, секундомер, циферблат;
Lesson 19
snack;[snæk];лёгкая закуска;
pack;[pæk];пачка, кипа, масса, множество;
neck;[nek];шея, ворот, воротник, горлышко;
black;[blæk];чёрный, тёмный, темнокожий;
track;[træk];след, отпечаток, курс, путь;
took;[tuk];прош. вр. от take;
kick;[kɪk];ударять ногой копытом, пинать;
lock;[lɔk];локон, волосы, листва деревьев;
sock;[sɔk];носок, стелька, сильный удар;
stick;[stɪk];палка, прут, трость, стек;
sack;[sæk];куль, мешок, бумажный пакет;
they're;[ðeə];сокр. от they are;
Lesson 20
what's;[ˈwɒt s];сокр. от what is;
he's;[hiːz];сокр. от hi is, he has;
we're;[wɪər];сокр. от we are;
i'm;[aɪm];сокр. от I am;
she's;[ʃiːz];сокр. от she is, she has;
that's;[ðæts];сокр. от that is;
there's;[ðeəz];сокр. от there is;
i'll;[aɪl];сокр. от I will или I shall;
you're;[jɔː(r)];сокр. от you are;
loom;[luːm]; виднеться вдали,  очертания, тень, ткацкий станок;
Lesson 21
boom;[buːm]; гул, рокотать, бум, шумиха;
gloom;[gluːm]; хмуриться, темнота, тьма;
bloom;[bluːm];цвет, цветение, цветок;
grew;[gruː];прош. вр. от глагола grow;
room;[ruːm];комната, помещение;
group;[gruːp];группа;
flew;[fluː];прош. вр. от глагола fly;
food;[fuːd];пища, питание, еда, корм;
groom;[gruːm];конюх, жених;
night;[naɪt];ночь, вечер, темнота;
Lesson 22
fight;[faɪt];бой, драка;
light;[laɪt];свет, освещение, дневной свет;
sight;[saɪt];зрение, поле зрения, видимость;
might;[maɪt];энергия, мощность, могущество, сила, прош. вр. от may;
bright;[braɪt];яркий, блестящий, светящийся;
high;[haɪ];высокий, находящийся вверху;
right;[raɪt];правый, правильный, верный;
are;[ɑː(r)];1 л. ед., 1, 2, 3 л. мн. настоящего времени от be
Lesson 23
part;[pɑːt];доля, часть, компонент;
heart;[hɑːt];сердце, душа, мужество, отвага;
start;[stɑːt];начало, старт;
arm;[ɑːm];рука, передняя конечность;
far;[fɑː];далёкий, дальний, отдалённый;
dark;[dɑːk];тёмный, лишённый света;
hard;[hɑːd];жёсткий, твёрдый;
farm;[fɑːm];ферма, крестьянское хозяйство;
park;[pɑːk];парк, сквер, национальный парк;
don't;[dəunt];сокр. от do not;
Lesson 24
won't;[wəunt];сокр. от will not;
i've;[aɪv];сокр. от I have;
didn't;['dɪdn(ə)t];сокр. от did not;
let's;[lets];сокр. от let us;
wasn't;[ˈwɒz(ə)nt];сокр. от was not;
couldn't;['kudnt];сокр. от could not;
doesn't;['dʌz(ə)nt];сокр. от does not;
wouldn't;['wud(ə)nt];сокр. от would not;
can't;[kɑːnt];сокр. от can not;
their;[ðeə];их, принадлежащий им;
Lesson 25
there;[ðeə];там, туда;
too;[tuː];излишне, слишком, чересчур;
two;[tuː];два, двойка, второй номер;
sow;[səu];сеять, высевать, засевать;
so;[səu];так, таким, подобным образом;
sew;[səu];шить, пришивать, штопать;
looking;[luk.ɪŋ];выглядящий,смотрящий;
Lesson 26
called;[kɔːld];именуемый, называемый;
asked;[ɑːskt];прош. вр. от ask;
doing;['duːɪŋ];действие, деятельность;
started;[stɑːtɪd];прош. вр. от start;
wanted;['wɔntɪd];разыскиваемый полицией;
playing;[ˈpleɪɪŋ];игральный, игровой, проигрываемый;
trying;['traɪɪŋ];трудный, тяжёлый, мучительный;
looked;[lukd];прош. вр. от глагола look;
going;['gəuɪŋ];собираться, ходьба, отправление;
first;[fɜːst];первый (по счёту, по порядку);
Lesson 27
house;[haus];дом, жилище, здание, постройка;
home;[həum];дом, жилище, семья;
upon;[ə'pɔn];книжн. = on;
soon;[suːn];скоро, вскоре;
saw;[sɔː];пила, пилить, распиливать, прош. вр. от see;
box;[bɔks];коробка, ящик;
girl;[gɜːl];девочка;
came;[keɪm];прош. вр. от come;
stand;[stænd];стоять, вставать, водружать;
classroom;['klɑːsrum];класс, классная комната;
Lesson 28
grandma;['græn(d)mɑː];сокр. от grandmother, бабушка;
seesaw;['siːsɔː];детские качели;
sometimes;['sʌmtaɪmz];иногда, временами;
somewhere;['sʌmweə];где-то, где-нибудь;
baseball;['beɪsbɔːl];бейсбол, бейсбольный мяч;
himself;[hɪm'self];себя, себе, собой, сам;
herself;[hɜː'self];себя, себе, собой, сама;
softball;['sɔftbɔːl];софтбол;
trackball;[ˈtræk.bɔːl];шаровой манипулятор;
sitting;['sɪtɪŋ];заседание, собрание, совещание;
Lesson 29
grabbed;[græbd];прош. вр. от grab;
slipped;[slɪpd];прош. вр. от slip;
running;['rʌnɪŋ];бег, бегущий;
planned;[plænd];плановый, планированный;
getting;['getɪŋ];получение;
stopped;[stɔpd];прош. вр. от глагола stop;
putting;['pʌtdɪŋ];толкание мяча в лунку (в гольфе);
dropped;[drɔpd];прош. вр. от глагола drop;
saved;[seɪvd];прош. вр. от глагола save;
Lesson 30
liked;[laɪk];прош. вр. от like;
giving;[gɪvɪŋ];дающий;
living;['lɪvɪŋ];средства к существованию, живущий, живой;
loved;[lʌvd];прош. вр. от love;
moving;['muːvɪŋ];движение, перемещение;
placed;[pleɪsd];прош. вр. от place;
riding;['raɪdɪŋ];верховая езда;
used;[juːzd];подержанный, старый, прош. вр. от глагола use;
taking;['teɪkɪŋ];захват, взятие, арест, поимка;
dish;[dɪʃ];блюдо;
Lesson 31
girls;[gɜːlz];девушки;
things;[θɪŋz];вещи, имущество;
wishes;['wɪʃəz];желания;
boys;[bɔɪz];мальчики;
inch;[ɪnʧ];дюйм, мера измерения;
times;[taɪms];времена;
toys;[tɔɪz];игрушки;
boxes;['bɔksəz];коробки, ящики;
days;[deɪz];в дневное время, дни;
animals;['ænɪm(ə)l];животные, зверм;
Lesson 32
zebras;['zebrəs];зебры;
chickens;['ʧɪkɪnz];цыплята, курицы;
seals;[siːlz];тюлени, печати;
rabbits;['ræbɪts];кролики;
whales;[(h)weɪlz];киты;
cows;[kauz];коровы;
ducks;[dʌks];утки;
die;[daɪ];умирать;
Lesson 33
dye;[daɪ];окраска, цвет, краска;
rode;[rəud];прош. вр. от ride;
road;[rəud];дорога, путь, шоссе, улица;
meat;[miːt];мясо, различные сорта мяса;
meet;[miːt];встречать, встречаться;
dear;[dɪə];дорогой, милый, любимый;
deer;[dɪə];олень, лань;
see;[siː];видеть, смотреть, осматривать;
sea;[siː];море;
family;['fæm(ə)lɪ];семья, семейство, род, дети;
Lesson 34
sister;['sɪstə];сестра;
aunt;[ɑːnt];тётя, тётка;
baby;['beɪbɪ];ребёнок, младенец, малютка;
grandfather;['græn(d)ˌfɑːðə];дедушка, предок;
uncle;['ʌŋkl];дядя, пожилой человек, дядюшка;
grandmother;['græn(d)ˌmʌðə];бабушка;
father;['fɑːðə];отец;
brother;['brʌðə];брат, собрат;
lunchroom;['lʌnʧruːm];закусочная;
Lesson 35
doghouse;['dɔghaus];собачья конура;
notebook;['nəutbuk];записная книжка, тетрадь;
something;['sʌmθɪŋ];кое-что, нечто, что-нибудь;
into;['ɪntə];в(о), на, внутрь, во, к, до;
snowball;['snəubɔːl];снежок, снежный ком;
inside;[ˌɪn'saɪd];внутренняя часть, внутренность;
nobody;['nəubədɪ];никто, ничтожество;
maybe;['meɪbɪ];может быть;
bedroom;['bedruːm];спальня;
find;[faɪnd];находить, встречать, искать;
Lesson 36
made;[meɪd];сделанный искусственно;
school;[skuːl];школа, обучение, учение;
look;[luk];взгляд, выражение лица, вид;
run;[rʌn];бежать, бегать;
book;[buk];книга, том, печатное издание;
because;[bɪ'kɔz];потому что, так как, поскольку;
people;['piːpl];люди одной национальности;
could;[kud];прош. вр. от can;
mother;['mʌðə];мать;
